WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,100.0,0.1482,92.9946,6.3059
49025097080000_490513,100.5,0.138,99.9327,6.4539
49025097080000_490513,101.0,0.1323,101.0571,6.6019
49025097080000_490513,101.5,0.1314,100.6167,6.5998
49025097080000_490513,102.0,0.1383,100.6234,6.5966
49025097080000_490513,102.5,0.15,100.4048,6.4448
49025097080000_490513,103.0,0.1575,99.9657,6.4426
49025097080000_490513,103.5,0.1623,100.6433,6.3654
49025097080000_490513,104.0,0.1539,104.0032,6.3632
49025097080000_490513,104.5,0.1596,103.5626,6.361
49025097080000_490513,105.0,0.1566,103.547,6.3589
49025097080000_490513,105.5,0.1502,104.6939,6.4313
49025097080000_490513,106.0,0.1537,104.0299,6.4291
49025097080000_490513,106.5,0.1559,102.4717,6.5025
49025097080000_490513,107.0,0.1458,101.1371,6.5755
49025097080000_490513,107.5,0.1418,100.0261,6.7229
49025097080000_490513,108.0,0.1368,100.4798,6.7958
49025097080000_490513,108.5,0.1323,97.538,6.9438
49025097080000_490513,109.0,0.1383,96.2458,7.0167
49025097080000_490513,109.5,0.1404,97.8666,7.1647
49025097080000_490513,110.0,0.1302,100.8495,7.162
49025097080000_490513,110.5,0.1218,102.3018,7.31
49025097080000_490513,111.0,0.1185,101.5976,7.3829
49025097080000_490513,111.5,0.1119,100.0811,7.5309
49025097080000_490513,112.0,0.1092,96.9581,7.6038
49025097080000_490513,112.5,0.1095,98.0825,7.7513
49025097080000_490513,113.0,0.1149,98.9817,7.8242
49025097080000_490513,113.5,0.1218,98.0941,7.8971
49025097080000_490513,114.0,0.1329,103.2441,7.8878
49025097080000_490513,114.5,0.1343,103.4743,7.5919
49025097080000_490513,115.0,0.1322,105.7164,7.4396
49025097080000_490513,115.5,0.1328,107.0644,7.2873
49025097080000_490513,116.0,0.1418,104.3885,7.135
49025097080000_490513,116.5,0.143,102.3832,7.1329
49025097080000_490513,117.0,0.1499,100.825,7.1306
49025097080000_490513,117.5,0.1565,101.5024,7.128
49025097080000_490513,118.0,0.1607,102.4015,7.0508
49025097080000_490513,118.5,0.1604,100.845,7.0486
49025097080000_490513,119.0,0.1601,99.0633,6.9714
49025097080000_490513,119.5,0.1637,98.1741,6.819
49025097080000_490513,120.0,0.1678,102.4299,6.6666
49025097080000_490513,120.5,0.1622,103.3307,6.5139
49025097080000_490513,121.0,0.1618,101.3255,6.3616
49025097080000_490513,121.5,0.1543,100.6598,6.2093
49025097080000_490513,122.0,0.1526,100.6682,6.2071
49025097080000_490513,122.5,0.152,100.8984,6.2049
49025097080000_490513,123.0,0.1481,100.6798,6.4394
49025097080000_490513,123.5,0.1466,100.0175,6.7256
49025097080000_490513,124.0,0.1475,95.5533,6.9487
49025097080000_490513,124.5,0.1433,91.089,7.1717
49025097080000_490513,125.0,0.1406,93.1076,7.3948
49025097080000_490513,125.5,0.1478,94.6791,7.5428
49025097080000_490513,126.0,0.1466,93.7915,7.3149
49025097080000_490513,126.5,0.1453,94.4689,7.0875
